['09.02.2020 22:55:46', '0.00020251', '0.99866', '0.99338']
['09.02.2020 22:55:53', 0, '0.19557', '0.95099']
['09.02.2020 22:56:03', '0.00089360', '-0.45565', '0.93377']
['09.02.2020 22:56:13', '0.00163699', '0.85968', '0.97808']
['09.02.2020 22:56:23', 0, '0.78541', '0.94581']
['09.02.2020 22:56:33', '0.00030710', '-0.54810', '0.82154']
['09.02.2020 23:02:56', '-0.00042961', '0.52150', '0.98571']
['09.02.2020 23:03:03', 0, '-0.93683', '0.96564']
['09.02.2020 23:03:13', '0.00008848', '-0.58467', '0.97783']
['09.02.2020 23:03:23', 0, '-0.27277', '0.97778']
['09.02.2020 23:03:33', '-0.00045083', '0.59630', '0.97183']
['09.02.2020 23:03:43', '-0.00001265', '-0.73154', '0.95270']
['05.03.2020 13:45:10', '0.00056846', '0.50437', '0.97898']
['05.03.2020 13:45:17', '-0.00048390', '0.39672', '0.98720']
['05.03.2020 13:45:27', 0, '-0.71412', '0.97806']
['05.03.2020 13:45:37', '0.00042285', '0.13089', '0.98490']
['05.03.2020 13:45:47', '0.00046492', '0.32060', '0.99328']
['05.03.2020 13:45:57', '-0.00011740', '0.96806', '0.98972']
